Type,Characteristic,Characteristic (Korean),One Liner,One Liner (Korean),Best Study Buddy,BSB Explanation,BSB Explanation (Korean),Animal,Outfit,Substitue One Liner,Substitue One Liner (Korean)
ObservantFocuser,"When picking up something new, you excel at taking one step at a time and ensuring that you do not miss something along the way. You are rarely distracted while studying. One area you might struggle with is seeing the big picture of your pursuits.","당신은 새로운 것을 시작할때, 차근차근 하나도 빠짐 없이 해결하는 것을 잘하는 사람입니다. 또한 공부할 때 다른 상황들로부터 방해를 크게 받지 않습니다. 다만, 미래를 향한 큰그림을 잘 계획하지 못하는 성향을 갖고있습니다.","Otty, Slow and steady",돌다리도 두드리고 건너는 오티,Observant Dreamer,"You struggle with thinking of the big picture when dealing with long term projects. That is why an Observant Dreamer, who starts with a grand vision and takes variety of approaches, is your best study buddy.",당신은 미래를 향한 큰그림을 잘 계획하지 못하는 성향을 갖고 있습니다. 그래서 당신은 큰 생각을 갖고 다양한 바식으로 문제를 푸는 것을 좋아하는 Observant Dreamer와 공부를 하는것이 잘 맞습니다.,Otter,nintendo switch + book,,
ObservantDreamer,"When starting something new, you start with a grand vision about the project. You excel at trying out a variety of approaches to resolve the problems at hand, and you are known to be flexible. You might struggle with figuring out how, where, and when to take the first step.","당신은 새로운 프로젝트를 시작할때, 그에 관한 큰 생각을 갖고 시작합니다. 다양한 방식으로 문제를 푸는 것을 좋아하며, 융통성이 있습니다. 다만, 어떻게 무엇인가를 시작하는것에 많은 어려움을 느낍니다.","Riley, Always a visionary ",탐험을 좋아하는 라일리 ,Observant Focuser,"You struggle with figure out how to start with the first step. that is why an Observant Focuser, who excel at taking one step at a time and is never distracted, is your best study buddy.",당신은 시작하는것에 많은 어려움을 느낍니다. 그래서 당신은 차근차근 하나도 빠짐 없이 해결하는것을 잘하고 방해를 크게 받지 않는 Observant Focuser와 공부를 하는 것이 잘 맞습니다.,Rhino,bob marley hat + orange juice,,
ObservantScholar,"When learning something new, you learn it for the joy of acquiring new knowledge. You excel at picking up transferable skills that can be used in any areas in the future. One area you might struggle with is figuring out what to study.","당신은 새로운것을 시작할때, 새로운것을 배운다는 것에 큰 기쁨을 느낍니다.당신은 먼 훗날 다양한 분야에 유용할 수 있는 기술을 잘 배우는 성향이 있습니다. 다만, 당신이 원하는 공부 분야를 선택하는 것이 힘들 수 있습니다.","Namu, Resident of a library",도서관에서 사는 나무,Observant Professional,"You struggle with applying one specific skill that you learned to real life. That is why an Observant Professional, who focuses on practicality and hard skills, is your best study buddy.",당신은 원하는 공부 분야를 선택하는 것을 어려워 합니다. 그래서 당신은 실용성을 생각하고 시용적인 기술을 많이 가지고 있는 Observant Professional와 공부를 하는 것이 잘 맞습니다.,Polar Bear,nerdy glass / shirt tucked in,,
ObservantProfessional,"When you learn something new, you tend to focus on its practicality. For this reason, you excel at picking up skills that would be useful even outside the classroom. One area you might struggle with is continuing the learning journey after starting it.","당신은 새로운 것을 배울때, 당신은 그것에 대한 실용성을 가장 먼저 생각합니다. 그런 사람이기에 당신은 실용성이 있는 기술을 많이 갖고 있습니다. 다만, 당신은 한 가지를 꾸준히 배우는 것에 어려움을 느낍니다.","Maru, Quiet and ready",언제나 조용히 준비하는 마루,Observant Scholar,"You struggle with continuing the learning journey after starting it. That is why an Observant Scholar, who is learn for the joy of acquiring new knowledge and picking up transferable skills, is your best study buddy.",당신은 한가지를 꾸준히 배우는 것에어려움을 느낍니다. 그래서 당신은 배우는것에 기쁨을 느끼고 다양한 기술과 정보를 가지고 있는 Observant Professional과 공부를 하는것이 잘 맞습니다.,Penguin,hawaiian shirt / sunglasses,,
ActiveFocuser,"When picking up something new, you excel at taking one step at a time and ensuring that you do not miss something along the way. You are not a jack of all trades, but a master of one. However, because you are so focused, you might find it difficult to see the big picture of your pursuits.","당신은 새로운 것을 시작할 때, 차근차근 하나도 빠짐 없이 해결하는 것을 잘하는 사람입니다. 한 번에 많은 것을 할 수 있다기 보단 한 가지에 몰두하는 것을 잘합니다. 다만, 미래를 향한 큰그림을 잘 계획하지 못하는 성향을 갖고있습니다.","Otty, Master of one",한우물만 파는 오티,Active Dreamer,"You struggle to see the big picture of your pursuits. That is why an Active Dreamer, who starts with a grand vision about a project and tries out different approaches, is your best study buddy.",당신은 미래를 향한 큰그림을 잘 계획하지 못하는 성향을 갖고 있습니다.  그래서 당신은 미래지향적이고 다양한 방식으로 문제를 해결하는 Active Dreamer과 공부를 하는것이 잘 맞습니다.,Otter,Tool / Safety Hat,Master of one set of skill,장인정신
ActiveDreamer,"When starting something new, you start with a grand vision about the project. You excel at trying out different approaches to resolve the problems at hand and are known to be flexible. One area you might struggle with is understanding what the necessary steps are for success.","당신은 새로운 것을 시작할 때, 시작하기 전에 그 프로젝트의 미래지향성을 먼저 보는 성향의 사람입니다. 당신은 문제를 다양한 방식으로 해결하는 것을 즐겨하며 융통성이 있는 사람입니다. 다만, 당신은 성공하기 위해 해야하는 필요한 것이 무엇인지.잘 모를 수 있습니다.","Riley, Leader of the troop",항상 꿈을 꾸는 라일리,Active Focuser,"You struggle with understanding the necessary steps are for success. That is why an Active Focuser, who excel at taking one step at a time and is a master of one, is your best study buddy.",당신은 성공하기 위해 해야하는 필요한 것이 무엇인지 잘 모를 수 있습니다. 그래서 당신은 차근차근 일을 해결 하고 하나에 집중을 하는 Active Focuser과 공부를 하는것이 잘 맞습니다.,Rhino,beret / notepad,,
ActiveScholar,"When you learn something new, you learn it for the joy of acquiring new knowledge. You excel at picking up transferable skills that can be used in any areas in the future. One area you might struggle with is learning practical hard skills.","당신은 새로운것을 시작할때, 새로운것을 배운다는 것에 큰 기쁨을 느낍니다. 당신은 먼 훗날 다양한 분야에 유용할 수 있는 기술을 잘 배우는 성향이 있습니다. 다만, 당신은 어렵고 실용적인 기술을 배우기 힘들어합니다 .","Namu, Trivia Enthusiast",잡학박사인 나무,Active Professional,"You struggle with learning practical hard skills. That is why an Active Professional, who focus on practicality and excel at picking up hard skills, is your best study buddy.","당신은 어렵고 실용적인 기술을 배우기 힘들어합니다. 그래서 당신은 실용성을 생각하고 유용한 기술을 배우는 성향이 있는 Active Professional과 공부를 하는것이 잘 맞습니다, ",Polar Bear,thick book / computer,,
ActiveProfessional,"When you learn something new, you tend to focus on its practicality. For this reason, you excel at picking up hard skills. One area you might struggle with is adjusting to new frameworks of perspectives when you attempt something new.","당신은 새로운 것을 배울때, 당신은 그것에 대한 실용성을 가장 먼저 생각합니다. 당신은 실질적으로 유용한 기술을 잘 배우는 성향을 갖고있습니다. 다만, 새로운 것을 배울때 새로운 방식에 적응하는것을 힘들어합니다 .","Maru, A realist by heart",현실에 집중하는 마루,Active Scholar,"You struggle with adjusting new frameworks when attempting something new. That is why an Active Scolar, who learns new subjects for fun and excels at picking up transferable skills, is your best study buddy.",당신은 새로운 방식에 적응하는것을 힘들어 합니다. 그래서 당신은 다양한 분야에 기술을 잘배우고 새로운것을 배우는것에 큰 기쁨을 느끼는 Active Scholar과 공부를 하는것이 잘 맞습니다.,Penguin,suit / ipad,Always looking for new work,알바몬 사용자
FocusedScholar,"When you learn something new, you learn it for the joy of acquiring new knowledge. You are rarely distracted and excel at paying attention to small details. One area you might struggle with is envisioning the big picture you want to achieve in the future.","당신은 새로운 것을 배울때, 새로운 것을 배운다는 것에 행복을 느낍니다. 당신은 주변환경에 방해를 받지 않으며, 사소한것에도 집중을 잘합니다. 다만, 미래에 하고 싶은 것을 정하기 힘들어합니다","Namu, a 24/7 Bookworm",미래지향적인 나무 ,Focused Professional,"You struggle with looking at the big picture. That is why a Focused Professional, who focus on practicality and knows exactly what he or she wants, is your best study buddy,",당신은 미래에 하고 싶은 것을 정하기 힘들어합니다. 그래서 당신은 미래에 대해 원하는것을 자세히 알고 노력하는 열정이 있는 Focused Professional과 공부를 하는것이 잘 맞습니다.,Polar Bear,nerdy glasses / thick books,,
FocusedProfessional,"When you learn something new, you tend to focus on its practicality. You have concrete dreams, and you are ready to do what it takes to achieve them. However, you may struggle to define the steps that will get you there.","당신은 새로운 것을 배울때, 그것이 당신에게 주는 유익함을 먼저 생각합니다. 당신은 자신이 미래에서 원하는 것이 무엇인지 자세히 알고 있고, 그 꿈을 향한 열정이 있습니다. 다만, 당신은 그 꿈을 위해 어떤 노력을 해야 할 지 잘 모르는 성향을 갖고 있습니다.","Maru, Persistent Go-getter",꿈을 위해 앞만 보고 달리는 마루,Focused Scholar,"You struggle with defining the small steps that you need to take next. That is why a Focused Scholar, who learns new things for the joy and is detail oriented, is your best study buddy.",당신은 꿈을 위해 어떤 노력을 해야할지 잘 모릅니다. 그래서 당신은 방해를 잘 받지 않으면서 배우는것을 좋아해서 집중을 잘하는 Focused Scholar과 공부를 하는것이 잘 맞습니다.,Penguin,suit / top hat,,
